Informazioni cronologiche;1_Utile;1_Chiara;1_Informativa;1_Bella;1_Valutazionw_complessiva;2_Utile;2_Chiara;2_Informativa;2_Bella;2_Valutazione_Complessiva;3_Utile;3_Chiara;3_Informativa;3_Bella;3_Valutazione_Complessiva
30/01/2022 20.30.37;5;4;5;4;5;4;5;5;6;6;4;6;6;4;6
30/01/2022 20.36.05;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
30/01/2022 20.36.16;3;6;6;4;5;3;4;5;6;5;3;6;6;4;5
30/01/2022 20.37.04;2;2;2;2;2;6;6;6;6;6;6;6;6;6;6
30/01/2022 20.44.13;5;4;5;6;5;5;4;5;5;5;5;6;6;5;5
30/01/2022 20.56.20;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
30/01/2022 21.09.03;6;6;6;5;5;6;5;5;5;5;6;6;6;6;6
30/01/2022 21.11.22;6;6;6;6;6;6;5;5;6;6;6;6;6;6;6
30/01/2022 21.11.22;4;5;6;4;5;4;4;4;4;4;4;4;4;4;4
30/01/2022 21.50.42;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
30/01/2022 22.07.47;5;6;6;5;6;6;5;6;6;6;5;6;6;6;6
30/01/2022 22.08.19;5;6;5;6;6;6;5;5;4;5;6;6;6;5;6